ID	Category	Description
150008281	OTHER OFFENSES	TRAFFIC VIOLATION ARREST
150459872	LARCENY/THEFT	GRAND THEFT FROM A BUILDING
150023643	MISSING PERSON	MISSING ADULT
150950444	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150029237	BURGLARY	BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY
150018177	WARRANTS	ENROUTE TO ADULT AUTHORITY
150102338	NON-CRIMINAL	AIDED CASE -PROPERTY FOR DESTRUCTION
150613802	WARRANTS	ENROUTE TO OUTSIDE JURISDICTION
150012016	SEX OFFENSES, FORCIBLE	ORAL COPULATION, UNLAWFUL (ADULT VICTIM)
150021374	RECOVERED VEHICLE	RECOVERED VEHICLE - STOLEN OUTSIDE SF
150012715	OTHER OFFENSES	TRAFFIC VIOLATION ARREST
150035494	SUSPICIOUS OCC	INVESTIGATIVE DETENTION
150046184	ROBBERY	ROBBERY, BODILY FORCE
150522112	FRAUD	CREDIT CARD, THEFT BY USE OF
150046617	ASSAULT	BATTERY
150637573	ASSAULT	BATTERY
150049495	KIDNAPPING	FALSE IMPRISONMENT
150250636	NON-CRIMINAL	LOST PROPERTY
150024704	DRUG/NARCOTIC	POSSESSION OF METH-AMPHETAMINE
150025718	VEHICLE THEFT	STOLEN TRUCK
150631860	ASSAULT	BATTERY
150032343	NON-CRIMINAL	DEATH REPORT, CAUSE UNKNOWN
150016488	NON-CRIMINAL	CIVIL SIDEWALKS, CITATION
150557244	WARRANTS	WARRANT ARREST
150032058	VEHICLE THEFT	STOLEN AUTOMOBILE
150022350	VANDALISM	MALICIOUS MISCHIEF, VANDALISM
150054808	NON-CRIMINAL	CASE CLOSURE
150406588	DRUG/NARCOTIC	POSSESSION OF METH-AMPHETAMINE
150099650	ASSAULT	AGGRAVATED ASSAULT WITH A KNIFE
150226869	MISSING PERSON	FOUND PERSON
150105097	VEHICLE THEFT	STOLEN AUTOMOBILE
150056343	ASSAULT	BATTERY
150002835	OTHER OFFENSES	MISCELLANEOUS INVESTIGATION
150039587	DRUG/NARCOTIC	POSSESSION OF MARIJUANA
150057476	NON-CRIMINAL	AIDED CASE -PROPERTY FOR DESTRUCTION
150050464	ARSON	ARSON OF AN INHABITED DWELLING
150046162	VEHICLE THEFT	STOLEN AUTOMOBILE
150073795	DRUG/NARCOTIC	POSSESSION OF CONTROLLED SUBSTANCE FOR SALE
150030228	OTHER OFFENSES	RESISTING ARREST
150073381	MISSING PERSON	MISSING JUVENILE
150002158	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150057799	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150042477	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150065918	OTHER OFFENSES	VIOLATION OF EMERGENCY PROTECTIVE ORDER
150043851	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150061552	NON-CRIMINAL	FOUND PROPERTY
150058963	OTHER OFFENSES	POSSESSION OF BURGLARY TOOLS
156045069	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150967320	LARCENY/THEFT	PETTY THEFT BICYCLE
150021001	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150057608	OTHER OFFENSES	PROBATION VIOLATION
150988956	BURGLARY	BURGLARY, UNLAWFUL ENTRY
150063558	OTHER OFFENSES	HARASSING PHONE CALLS
150060532	OTHER OFFENSES	TRAFFIC VIOLATION
150046899	VEHICLE THEFT	ATTEMPTED STOLEN VEHICLE
150245778	OTHER OFFENSES	RESISTING ARREST
150037616	LARCENY/THEFT	PETTY THEFT FROM A BUILDING
150000340	OTHER OFFENSES	INJURY TO TELEGRAPH/TELEPHONE LINES
150101813	WEAPON LAWS	DISCHARGE FIREARM WITHIN CITY LIMITS
150089316	LARCENY/THEFT	GRAND THEFT BICYCLE
150349706	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150004966	NON-CRIMINAL	LOST PROPERTY
150015747	ASSAULT	INFLICT INJURY ON COHABITEE
150775286	VANDALISM	MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
150039474	DRUG/NARCOTIC	POSSESSION OF COCAINE
150031038	ASSAULT	ATTEMPTED HOMICIDE WITH BODILY FORCE
150042370	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150015634	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150126764	ROBBERY	ROBBERY ON THE STREET WITH A DANGEROUS WEAPON
150036191	WEAPON LAWS	POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN
150032321	WARRANTS	WARRANT ARREST
150311482	OTHER OFFENSES	MISCELLANEOUS INVESTIGATION
150038545	NON-CRIMINAL	FOUND PROPERTY
150014642	OTHER OFFENSES	RESISTING ARREST
150309465	VEHICLE THEFT	STOLEN AND RECOVERED VEHICLE
150062362	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150616210	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150004160	DRUG/NARCOTIC	POSSESSION OF NARCOTICS PARAPHERNALIA
150541156	LARCENY/THEFT	PETTY THEFT OF PROPERTY
150033711	NON-CRIMINAL	AIDED CASE, INJURED PERSON
150029889	ASSAULT	INFLICT INJURY ON COHABITEE
150031323	NON-CRIMINAL	CIVIL SIDEWALKS, CITATION
150308508	TRESPASS	TRESPASSING
150010929	ASSAULT	BATTERY
150043425	WARRANTS	WARRANT ARREST
150430941	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150580063	SECONDARY CODES	DOMESTIC VIOLENCE
150013616	BURGLARY	BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY
150110585	LARCENY/THEFT	PETTY THEFT FROM A BUILDING
150033880	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150038749	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150022112	ASSAULT	AGGRAVATED ASSAULT WITH BODILY FORCE
150038119	VANDALISM	MALICIOUS MISCHIEF, VANDALISM
150019034	BURGLARY	BURGLARY OF FLAT, UNLAWFUL ENTRY
150076670	DISORDERLY CONDUCT	DISTURBING THE PEACE, FIGHTING
150045528	MISSING PERSON	FOUND PERSON
150003946	NON-CRIMINAL	CIVIL SIDEWALKS, VIOLATION
150077935	MISSING PERSON	MISSING ADULT
150001166	BURGLARY	BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
150021108	VANDALISM	MALICIOUS MISCHIEF, VANDALISM
150355894	ASSAULT	AGGRAVATED ASSAULT WITH BODILY FORCE
150022601	VANDALISM	MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
150090153	SUSPICIOUS OCC	INVESTIGATIVE DETENTION
160008691	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150631155	NON-CRIMINAL	LOST PROPERTY
150453216	ASSAULT	BATTERY
150816830	RECOVERED VEHICLE	RECOVERED VEHICLE - STOLEN OUTSIDE SF
